"ID","Q9A1","Q9A2","Q9A3","Q9A4","Q9A5","Q9A6","Cluster"
46895,1,0,1,0,0,1,1
67235,1,1,1,0,0,0,1
65107,0,1,0,0,0,1,2
93379,1,0,0,1,0,0,1
21071,0,1,1,1,0,0,3
64051,1,1,0,0,0,0,1
30666,0,1,0,0,1,0,4
71628,1,0,0,1,1,0,4
37335,0,1,0,0,1,0,4
73300,1,1,0,1,0,0,1
77362,0,1,0,1,0,0,3
77944,1,0,0,1,1,0,4
62238,0,0,0,1,1,0,3
29366,0,0,0,0,1,0,4
56203,1,0,1,1,0,0,1
56333,0,0,0,1,0,1,2
73524,0,0,0,1,1,0,3
41942,0,0,1,0,1,0,2
54805,1,0,0,0,1,0,4
69760,0,1,0,0,1,1,2
26240,1,0,1,0,0,0,1
27527,1,0,1,0,0,1,1
73441,0,0,0,0,0,1,2
13994,0,0,0,1,1,0,3
92290,0,1,0,1,1,0,3
80257,1,0,0,1,1,0,4
23884,0,1,1,0,1,1,2
43637,1,0,1,0,1,0,1
91341,0,0,1,1,0,1,2
89854,0,1,0,0,1,1,2
28314,0,0,0,1,0,0,3
93067,0,1,1,1,1,1,2
61204,0,1,0,1,0,0,3
85773,0,1,1,1,1,0,2
69393,0,0,1,0,1,0,2
27689,1,0,0,0,1,0,4
83192,1,0,0,0,1,0,4
52749,1,0,0,0,1,0,4
92990,0,0,0,1,1,0,3
20044,1,0,1,1,1,1,2
44363,1,1,1,1,1,1,2
55890,1,0,0,0,1,0,4
34218,1,1,1,1,1,1,2
90676,0,1,1,0,0,1,2
70319,1,1,1,1,1,0,2
77803,1,1,1,0,1,0,2
94121,1,1,0,0,1,0,4
83025,1,1,1,1,0,0,1
67405,0,1,0,1,1,1,2
26420,1,0,0,1,0,1,1
98794,0,0,1,1,0,0,2
50135,0,1,1,0,1,1,2
68313,1,1,1,0,0,0,1
98697,0,0,1,1,1,1,2
21614,1,0,1,0,1,0,1
52400,1,0,0,1,0,1,1
11666,0,1,1,0,1,1,2
30046,1,0,0,1,1,1,4
39566,0,1,0,0,1,0,4
27577,0,1,1,0,1,1,2
73750,1,1,1,1,1,1,2
30140,1,1,1,1,1,1,2
69081,1,1,1,1,1,1,2
24025,1,1,1,1,1,1,2
61314,1,1,1,1,1,1,2
67248,0,0,1,0,1,0,2
14100,0,1,0,0,1,1,2
28262,0,1,0,0,1,0,4
91667,0,0,0,0,1,0,4
56079,0,1,1,0,0,1,2
87622,0,0,0,1,0,0,3
97220,0,0,0,0,1,0,4
25200,0,0,0,0,1,0,4
88332,0,0,0,1,1,0,3
91879,0,0,0,1,0,0,3
18887,1,0,1,1,0,0,1
88389,0,0,0,1,1,0,3
18405,0,0,0,1,1,0,3
78731,1,1,0,0,0,0,1
91904,1,0,1,0,1,0,1
68717,0,1,1,1,0,0,3
71545,0,0,0,1,0,0,3
42513,0,0,0,0,0,1,2
71269,0,1,0,1,1,0,3
31932,1,0,0,0,0,1,1
97706,1,0,0,0,0,0,1
98589,1,0,0,1,1,1,4
67192,1,0,0,0,1,0,4
11095,0,1,1,1,0,0,3
53030,0,1,1,1,0,0,3
45344,1,0,1,1,0,1,1
67517,0,0,1,0,0,0,2
67995,1,1,0,1,0,0,1
32520,1,1,1,1,1,1,2
22211,1,0,0,0,0,0,1
59661,0,0,1,0,0,0,2
68065,0,1,1,0,0,0,2
77000,0,0,0,0,1,0,4
44020,1,1,0,0,0,0,1
44038,1,0,0,0,1,1,4
95722,1,1,0,0,0,1,1
18750,0,0,1,0,0,1,2
82573,0,1,0,0,0,0,3
57554,1,1,1,0,0,0,1
24480,1,0,0,1,0,0,1
79015,0,1,0,0,0,1,2
70231,1,1,0,0,0,0,1
81303,0,0,0,1,1,0,3
28223,0,0,0,1,0,1,2
22545,1,1,1,1,0,0,1
95160,0,0,0,0,1,0,4
39550,0,0,0,0,1,1,2
93954,1,1,1,0,0,0,1
84918,1,0,0,0,0,0,1
91869,1,0,1,0,0,0,1
87829,0,0,0,0,1,1,2
46254,0,0,0,1,1,0,3
44591,1,0,0,0,1,0,4
51666,1,1,1,1,1,1,2
50011,1,0,1,1,0,1,1
97854,1,1,1,0,0,0,1
75738,0,0,1,1,0,1,2
30152,1,1,0,0,0,0,1
24496,0,0,0,1,1,0,3
76318,0,0,0,1,0,0,3
75859,0,0,0,1,1,0,3
59418,1,1,0,1,0,0,1
52175,1,0,1,0,0,0,1
85774,1,1,0,1,0,0,1
71207,0,0,1,0,1,0,2
18826,0,1,1,0,0,1,2
71383,1,1,0,0,0,0,1
73011,1,0,1,0,0,0,1
41540,0,1,1,0,1,0,2
54417,1,0,0,0,1,0,4
77988,0,0,0,1,1,1,2
58756,1,1,0,0,1,0,4
82023,0,0,1,0,1,0,2
62240,0,1,0,0,1,0,4
57001,1,1,0,0,0,0,1
99516,0,0,1,1,1,0,2
15206,1,0,0,1,1,0,4
15498,0,1,1,0,1,0,2
10986,0,1,0,0,1,0,4
16115,0,0,0,0,1,1,2
28627,1,0,0,0,1,1,4
15782,0,0,0,0,1,0,4
45899,0,0,1,1,1,0,2
35385,1,1,0,1,1,0,4
47847,0,0,0,1,0,0,3
18244,0,0,0,1,0,0,3
83137,0,0,0,1,0,0,3
80158,1,1,1,1,1,0,2
96840,1,1,0,0,1,0,4
95214,1,1,0,0,1,0,4
59528,1,1,0,0,1,0,4
47634,0,0,1,1,1,1,2
71132,0,1,0,1,1,0,3
65443,0,0,0,1,0,0,3
63838,0,0,0,1,1,0,3
58391,0,0,0,1,1,0,3
47805,0,0,0,1,0,1,2
15163,0,1,0,1,1,0,3
26628,0,0,0,1,1,0,3
91307,0,0,0,1,1,1,2
30151,0,0,0,0,0,0,1
