"ID","Q8_1","Q8_3","Q8_8","Q8_4","Q8_9","Q8_5","Cluster"
1,1,1,0,1,0,0,1
3,1,0,0,1,0,0,2
4,1,0,0,1,0,0,2
5,1,0,0,1,0,1,3
6,1,0,0,0,0,0,2
8,1,0,0,1,0,0,2
10,1,0,1,1,0,0,2
11,1,0,0,1,0,1,3
12,1,0,0,1,0,0,2
13,1,0,0,1,0,0,2
15,1,0,0,1,0,1,3
16,1,0,0,1,0,0,2
17,0,1,0,1,0,1,3
18,0,1,0,1,0,1,3
19,0,1,0,1,0,0,1
20,1,0,0,1,0,0,2
21,1,1,0,1,0,1,3
22,1,0,0,1,0,0,2
23,1,0,0,1,0,0,2
24,1,0,0,1,0,0,2
25,1,0,0,0,0,0,2
26,1,0,0,0,0,1,3
27,1,1,1,1,0,1,1
28,0,1,0,1,0,0,1
30,1,0,0,1,0,0,2
31,0,0,0,0,0,1,3
32,1,1,0,1,0,0,1
33,1,1,0,1,0,0,1
35,1,1,0,1,0,0,1
37,1,0,0,1,0,0,2
38,1,0,0,1,1,1,3
39,1,0,0,0,1,0,2
40,1,1,0,1,0,0,1
41,1,0,0,0,1,0,2
42,1,1,0,0,0,0,1
43,1,0,0,0,0,0,2
44,1,1,0,0,0,1,3
45,1,1,1,1,0,1,1
46,1,0,1,1,0,0,2
49,1,0,1,1,0,0,2
50,1,1,0,0,0,1,3
51,1,1,1,1,0,0,1
52,1,1,0,1,0,1,3
53,1,1,0,0,0,0,1
54,1,1,0,1,0,0,1
55,0,1,0,0,0,1,3
56,1,0,0,1,0,1,3
58,1,1,0,1,0,0,1
60,1,0,0,0,0,0,2
61,0,1,0,1,0,0,1
62,0,1,0,1,0,0,1
63,1,0,0,1,0,0,2
64,0,0,0,0,1,0,2
65,1,1,0,1,0,0,1
66,1,1,0,1,0,0,1
68,1,1,1,1,0,1,1
69,1,0,0,1,0,0,2
72,1,0,1,1,0,0,2
73,1,1,1,1,0,1,1
74,1,0,0,0,0,0,2
75,1,0,0,1,0,0,2
76,1,1,0,1,0,0,1
77,1,0,1,1,0,0,2
79,1,0,0,0,0,0,2
81,1,0,0,1,0,0,2
82,1,1,0,1,0,0,1
83,1,1,0,1,0,1,3
84,1,1,1,1,0,1,1
85,1,0,0,0,0,0,2
86,1,0,0,0,0,0,2
88,1,0,0,1,0,0,2
90,1,0,1,0,0,1,3
91,0,0,0,0,0,1,3
92,1,1,1,1,0,0,1
96,1,1,1,1,0,0,1
97,1,1,0,1,0,0,1
98,1,0,0,1,0,0,2
99,1,0,0,1,0,0,2
101,1,0,0,1,0,0,2
103,1,1,1,1,0,1,1
104,1,0,0,1,0,0,2
105,1,1,0,1,0,1,3
106,1,0,0,1,0,0,2
107,1,0,0,1,0,0,2
109,1,0,0,1,0,1,3
110,0,0,0,0,0,1,3
111,1,0,0,1,0,0,2
112,1,1,1,1,0,1,1
113,1,0,0,0,0,0,2
114,1,0,0,1,0,0,2
115,1,0,0,1,0,0,2
116,1,0,0,1,0,0,2
117,1,1,1,1,0,0,1
120,1,1,0,1,0,0,1
121,1,1,0,1,0,1,3
124,1,1,1,1,0,0,1
125,1,1,0,1,0,0,1
126,1,1,0,1,0,1,3
128,0,0,0,1,0,1,3
129,0,1,0,1,0,0,1
133,1,1,1,1,0,1,1
134,1,1,1,1,0,0,1
135,1,1,0,1,0,0,1
136,1,0,1,1,0,0,2
137,0,0,0,0,0,1,3
138,0,0,0,1,0,1,3
139,1,0,0,1,0,0,2
141,1,0,0,0,0,0,2
143,1,1,1,1,0,1,1
144,1,1,0,1,0,0,1
147,1,1,0,1,0,0,1
